UF,Município,Região,Nota,Colocação,Delta colocação,Data,Colocação ranking geral invertido
RO,Ariquemes,Norte,"44,85243592973116",321,-33,jun./2024,-321
RO,Cacoal,Norte,"50,06370181940703",221,18,jun./2024,-221
RO,Ji-Paraná,Norte,"50,59750668673165",207,28,jun./2024,-207
RO,Porto Velho,Norte,"47,77892043247747",261,66,jun./2024,-261
RO,Vilhena,Norte,"47,95661918371449",257,14,jun./2024,-257
AC,Cruzeiro do Sul,Norte,"44,83276840790061",323,43,jun./2024,-323
AC,Rio Branco,Norte,"50,26887836936234",216,-3,jun./2024,-216
AM,Itacoatiara,Norte,"42,93538254082976",365,-23,jun./2024,-365
AM,Manacapuru,Norte,"43,067590797521675",362,25,jun./2024,-362
AM,Manaus,Norte,"51,14752084226113",191,18,jun./2024,-191
AM,Parintins,Norte,"39,549810045144646",389,-9,jun./2024,-389
RR,Boa Vista,Norte,"43,38995148356162",357,-91,jun./2024,-357
PA,Abaetetuba,Norte,"38,84881307825834",393,-1,jun./2024,-393
PA,Altamira,Norte,"40,753004646674604",385,-7,jun./2024,-385
PA,Ananindeua,Norte,"44,444243696954196",337,7,jun./2024,-337
PA,Barcarena,Norte,"46,61809853866559",285,-9,jun./2024,-285
PA,Belém,Norte,"47,76663805436357",264,1,jun./2024,-264
PA,Bragança,Norte,"36,572262590415114",399,-28,jun./2024,-399
PA,Breves,Norte,"30,52714884822222",403,2,jun./2024,-403
PA,Cametá,Norte,"35,841262769025285",400,-4,jun./2024,-400
PA,Castanhal,Norte,"40,60930111224056",387,-4,jun./2024,-387
PA,Itaituba,Norte,"34,749164681153204",402,7,jun./2024,-402
PA,Marabá,Norte,"42,98831737",364,0,jun./2024,-364
PA,Marituba,Norte,"41,86553141123737",375,10,jun./2024,-375
PA,Moju,Norte,"26,61849014744787",404,6,jun./2024,-404
PA,Paragominas,Norte,"45,345083005966366",309,16,jun./2024,-309
PA,Parauapebas,Norte,"47,518858534133756",269,-40,jun./2024,-269
PA,Redenção,Norte,"43,196281682984505",360,34,jun./2024,-360
PA,Santarém,Norte,"44,44626254079192",336,20,jun./2024,-336
PA,Tucuruí,Norte,"43,46241748512038",355,6,jun./2024,-355
AP,Macapá,Norte,"44,48391156931094",335,30,jun./2024,-335
AP,Santana,Norte,"40,69606643548702",386,-14,jun./2024,-386
TO,Araguaína,Norte,"47,930269878904085",259,15,jun./2024,-259
TO,Gurupi,Norte,"47,17927072051879",277,-36,jun./2024,-277
TO,Palmas,Norte,"55,93274837704513",65,59,jun./2024,-65
