Data,Taxa,Variação
1/20/2021,2,0
3/17/2021,"2,75","0,75"
5/5/2021,"3,5","0,75"
6/16/2021,"4,25","0,75"
8/4/2021,"5,25",1
9/22/2021,"6,25",1
10/27/2021,"7,75","1,5"
12/8/2021,"9,25","1,5"
2/2/2022,"10,75","1,5"
3/16/2022,"11,75",1
5/4/2022,"12,75",1
6/15/2022,"13,25","0,5"
8/3/2022,"13,75","0,5"
9/21/2022,"13,75",0
10/26/2022,"13,75",0
12/7/2022,"13,75",0
2/1/2023,"13,75",0
3/22/2023,"13,75",0
5/3/2023,"13,75",0
6/21/2023,"13,75",0
8/2/2023,"13,25","-0,5"
9/20/2023,"12,75","-0,5"
11/1/2023,"12,25","-0,5"
12/13/2023,"11,75","-0,5"
1/31/2024,"11,25","-0,5"
3/20/2024,"10,75","-0,5"
5/8/2024,"10,5","-0,25"
6/19/2024,"10,5",0
7/31/2024,"10,5",0
9/18/2024,"10,75","0,25"
